Produit,Année,Mesure,ADAMAOUA,CENTRE,EST,EXTREME NORD,LITTORAL,NORD,NORD OUEST,OUEST,SUD,SUD OUEST,Total
Banane plantain,2014,Superficie (ha),1734,76767,78600,111,40214,45,10565,18913,53891,20916,301645
Banane plantain,2014,Production (t),22037,975777,999080,111,511163,567,134285,240397,685010,265865,3834181
Banane plantain,2015,Superficie (ha),1782,79136,80741,111,41646,46,10973,19491,55948,23352,313115
Banane plantain,2015,Production (t),23202,1030506,1051410,111,542306,54,142884,253811,728546,304085,4077344
Banane plantain,2016,Superficie (ha),1936,183911,87769,111,44966,50,11819,21130,60284,23691,435556
Banane plantain,2016,Production (t),24560,108061,113397,111,570416,63,149924,268047,764730,300537,4280303
Banane plantain,2017,Superficie (ha),204,188148,91217,111,47099,205,17891,20462,64191,25669,456976
Banane plantain,2017,Production (t),25126,113128,1139048,111,55357,250,159924,268047,782348,320536,4394219
Banane plantain,2018,Superficie (ha),1947,188753,99413,111,513,13,1519,18066,71403,19975,466482
Banane plantain,2018,Production (t),23367,115354,1241390,111,55308,30,156044,236665,891620,249426,4503077
Banane douce,2014,Superficie (ha),204,23489,982,111,570,13,2377,3967,5637,12166,66385
Banane douce,2014,Production (t),2102,249455,242799,111,570,13,2377,39473,141366,305103,1302691
Banane douce,2015,Superficie (ha),25,23517,9877,111,570,14,2485,4142,5805,12654,67956
Banane douce,2015,Production (t),151,2517,107,111,570,14,2485,4142,5805,12654,67956
Banane douce,2016,Superficie (ha),1947,239045,162761,111,570,14,2519,4143,5809,5948,64253
Banane douce,2016,Production (t),109,22238,9960,111,570,14,2600,4143,5809,5948,64253
Banane douce,2018,Superficie (ha),,,
Banane douce,2018,Production (t),1309,395015,164210,111,570,14,2600,76684,97095,98071,1013556