Produit,M̩trique,2013,2014,2015,2016,2017
CACAO,Production (tonnes),275000,281196,308753,330412,331149
CACAO,Exportation (tonnes),192836,192637,265306,,
CACAO,Cours mondiaux (FCFA/kg),1386,1732,1756,,
CAFE ARABICA,Production (tonnes),7000,8020,6504,7024,7006
CAFE ARABICA,Exportation (tonnes),2228,2434,2004,,
CAFE ARABICA,Cours mondiaux (FCFA/kg),2070,2975,2227,,
CAFE ROBUSTA,Production (tonnes),31127,37115,27094,29762,
CAFE ROBUSTA,Exportation (tonnes),19280,28171,31163,,
CAFE ROBUSTA,Cours mondiaux (FCFA/kg),1483,1553,1391,,
CAOUTCHOUC,Production (tonnes),49013,51559,46920,41923,
CAOUTCHOUC,Exportation (tonnes),54068,57150,48902,,
CAOUTCHOUC,Cours mondiaux (FCFA/kg),1216,812,1391,,
COTON GRAINE,Production (tonnes),237665,274286,289994,,
COTON FIBRE,Production (tonnes),88854,98375,107585,,
COTON FIBRE,Exportation (tonnes),91532,90854,119075,,
COTON FIBRE,Cours mondiaux (FCFA/kg),868,799,920,,
BANANE D'EXPORTATION,Production (tonnes),280000,343616,363029,,
BANANE D'EXPORTATION,Exportation (tonnes),261808,265276,2863436,,
BANANE D'EXPORTATION,Cours mondiaux (FCFA/kg),569,554,,,
HUILE DE PALME,Production industrielle (tonnes),121534,127321,140212,,
HUILE DE PALME,Production artisanale (tonnes),199187,211138,227755,,